candidate_id,rank,score,reasoning
CAND_0068811,1,0.9571,"Strong product-focused Applied ML Engineer with 8.0 yrs experience showcasing Vector Search, Qdrant skills. Demonstrates production deployment background with 42% platform engagement."
CAND_0077337,2,0.9538,"Exceptional Staff Machine Learning Engineer with 7.0 yrs experience; built core matching/search systems at Paytm, expert in Semantic Search, Pinecone, Information Retrieval. Highly responsive (95% response rate) and located in Kochi, Kerala."
CAND_0011687,3,0.9496,"Exceptional Senior NLP Engineer with 7.8 yrs experience; built core matching/search systems at Niramai, expert in OpenSearch, FAISS, Embeddings. Highly responsive (89% response rate) and located in Indore, Madhya Pradesh."
CAND_0082086,4,0.9294,"Exceptional Senior Software Engineer (ML) with 6.0 yrs experience; built core matching/search systems at Razorpay, expert in FAISS, Pinecone, Milvus. Highly responsive (85% response rate) and located in Delhi, Delhi."
CAND_0064326,5,0.8962,"Exceptional Search Engineer with 7.6 yrs experience; built core matching/search systems at Sarvam AI, expert in Milvus, Semantic Search, Weaviate. Highly responsive (94% response rate) and located in Gurgaon, Haryana."
CAND_0041669,6,0.8517,"Strong product-focused Recommendation Systems Engineer with 8.0 yrs experience showcasing FAISS, Milvus skills. Demonstrates production deployment background with 77% platform engagement."
CAND_0046525,7,0.8515,"Exceptional Senior Machine Learning Engineer with 6.1 yrs experience; built core matching/search systems at Genpact AI, expert in Elasticsearch, Information Retrieval, NLP. Highly responsive (88% response rate) and located in Pune, Maharashtra."
CAND_0088025,8,0.8354,"Exceptional Staff Machine Learning Engineer with 8.6 yrs experience; built core matching/search systems at Yellow.ai, expert in Pinecone, RAG, Elasticsearch. Highly responsive (83% response rate) and located in Jaipur, Rajasthan."
CAND_0046064,9,0.7261,"Exceptional Senior NLP Engineer with 8.9 yrs experience; built core matching/search systems at Salesforce, expert in Pinecone, OpenSearch, Elasticsearch. Highly responsive (78% response rate) and located in Coimbatore, Tamil Nadu."
CAND_0076163,10,0.7014,"Exceptional NLP Engineer with 6.9 yrs experience; built core matching/search systems at Ola, expert in Weaviate, Semantic Search, Elasticsearch. Highly responsive (84% response rate) and located in Chandigarh, Chandigarh."
CAND_0070514,11,0.6995,"Exceptional AI Specialist with 5.5 yrs experience; built core matching/search systems at Glance, expert in Pinecone, FAISS, OpenSearch. Highly responsive (80% response rate) and located in Bangalore, Karnataka."
CAND_0027801,12,0.6948,"Exceptional NLP Engineer with 7.4 yrs experience; built core matching/search systems at InMobi, expert in FAISS, Milvus, OpenSearch. Highly responsive (65% response rate) and located in Hyderabad, Telangana."
CAND_0090155,13,0.6945,"Exceptional ML Engineer with 5.8 yrs experience; built core matching/search systems at Swiggy, expert in Milvus, Qdrant, Pinecone. Highly responsive (64% response rate) and located in Pune, Maharashtra."
CAND_0096104,14,0.6799,"Strong product-focused AI Specialist with 7.0 yrs experience showcasing Pinecone, Semantic Search skills. Demonstrates production deployment background with 33% platform engagement."
CAND_0008295,15,0.6653,Strong product-focused AI Research Engineer with 6.5 yrs experience showcasing Weaviate skills. Demonstrates production deployment background with 89% platform engagement.
CAND_0014440,16,0.6603,"Strong product-focused Recommendation Systems Engineer with 6.4 yrs experience showcasing Elasticsearch, Milvus skills. Demonstrates production deployment background with 64% platform engagement."
CAND_0081852,17,0.6497,"Strong product-focused Senior Data Scientist with 5.9 yrs experience showcasing Semantic Search, Milvus skills. Demonstrates production deployment background with 44% platform engagement."
CAND_0070398,18,0.6445,"Exceptional Machine Learning Engineer with 7.2 yrs experience; built core matching/search systems at Genpact AI, expert in RAG, FAISS, Embeddings. Highly responsive (60% response rate) and located in Kochi, Kerala."
CAND_0008425,19,0.6407,"Exceptional Senior NLP Engineer with 7.8 yrs experience; built core matching/search systems at Ola, expert in Qdrant, NLP, Semantic Search. Highly responsive (66% response rate) and located in Kolkata, West Bengal."
CAND_0028793,20,0.6337,"Exceptional Search Engineer with 7.2 yrs experience; built core matching/search systems at Google, expert in Embeddings, Information Retrieval, NLP. Highly responsive (56% response rate) and located in Trivandrum, Kerala."
CAND_0077498,21,0.6298,"Exceptional Senior Software Engineer (ML) with 5.4 yrs experience; built core matching/search systems at Niramai, expert in Embeddings, Elasticsearch, Milvus. Highly responsive (89% response rate) and located in Ahmedabad, Gujarat."
CAND_0073314,22,0.6254,"Exceptional Senior Software Engineer (ML) with 5.2 yrs experience; built core matching/search systems at Aganitha, expert in Milvus, Elasticsearch, Weaviate. Highly responsive (84% response rate) and located in Noida, Uttar Pradesh."
CAND_0088441,23,0.6064,"Strong product-focused AI Specialist with 6.5 yrs experience showcasing Qdrant, Information Retrieval skills. Demonstrates production deployment background with 38% platform engagement."
CAND_0046353,24,0.5949,"Exceptional ML Engineer with 6.4 yrs experience; built core matching/search systems at Razorpay, expert in FAISS, Qdrant, NLP. Highly responsive (73% response rate) and located in Gurgaon, Haryana."
CAND_0016163,25,0.5842,"Exceptional Applied ML Engineer with 6.7 yrs experience; built core matching/search systems at Dream11, expert in Weaviate, Embeddings, Pinecone. Highly responsive (72% response rate) and located in Gurgaon, Haryana."
CAND_0065514,26,0.5829,"Strong product-focused ML Engineer with 6.6 yrs experience showcasing Vector Search, Pinecone skills. Demonstrates production deployment background with 39% platform engagement."
CAND_0083307,27,0.5807,"Exceptional Search Engineer with 7.8 yrs experience; built core matching/search systems at CRED, expert in Embeddings, Pinecone, Weaviate. Highly responsive (70% response rate) and located in Vizag, Andhra Pradesh."
CAND_0049896,28,0.5486,"Strong product-focused Search Engineer with 7.3 yrs experience showcasing Information Retrieval, NLP skills. Demonstrates production deployment background with 43% platform engagement."
CAND_0010149,29,0.5453,"Exceptional ML Engineer with 6.9 yrs experience; built core matching/search systems at Glance, expert in Milvus, Vector Search, Elasticsearch. Highly responsive (82% response rate) and located in Bangalore, Karnataka."
CAND_0084460,30,0.5418,"Strong product-focused Senior Software Engineer (ML) with 5.6 yrs experience showcasing Milvus, Semantic Search skills. Demonstrates production deployment background with 45% platform engagement."
CAND_0006557,31,0.5318,"Exceptional NLP Engineer with 7.9 yrs experience; built core matching/search systems at Paytm, expert in Elasticsearch, OpenSearch, Vector Search. Highly responsive (63% response rate) and located in Jaipur, Rajasthan."
